Title,Authors,Journal/Conference,Year,Citations
The pharmacy profession in a developing country: Challenges and suggested governance solutions in Lebanon,"H Sacre, S Hallit, A Hajj, RM Zeenny, G Sili, P Salameh","Journal of Research in Pharmacy Practice 8 (2), 39-44",2019,19
"Previous, current, and cumulative dose effect of waterpipe smoking on LDL and total cholesterol","S Hallit, R Hallit, C Haddad, L Youssef, M Zoghbi, R Costantine, N Kheir, ...","Environmental Science and Pollution Research 26 (8), 8194-8201",2019,19
Adherence to international guidelines for the treatment of meningitis infections in Lebanon,"SM Haydar, SR Hallit, RR Hallit, PR Salameh, LJ Faddoul, BAG Chahine, ...","Saudi Medical Journal 40 (3), 260",2019,19
"Allergic diseases, smoking, and environmental exposure among university students in Lebanon","S Hallit, TB Assi, R Hallit, P Salameh","Journal of Asthma 55 (1), 35-42",2018,19
Treatment outcomes of fixed-dose combination versus separate tablet regimens in pulmonary tuberculosis patients with or without diabetes in Qatar,"MH Al-Shaer, H Mansour, H Elewa, P Salameh, F Iqbal","BMC infectious diseases 17, 1-6",2017,19
"Association between iron level, glucose impairment and increased DNA damage during pregnancy","S Zein, S Rachidi, N Shami, I Sharara, K Cheikh-Ali, AS Gauchez, ...","Journal of Trace Elements in Medicine and Biology 43, 52-57",2017,19
Substance use among Lebanese university students: prevalence and associated factors/Consommation de substances psychoactives des etudiants universitaires libanais: prevalence …,"P Salameh, S Rachidi, A Al-Hajje, S Awada, K Chouaib, N Saleh, ...","Eastern Mediterranean Health Journal 21 (5), 332-342",2015,19
Adverse drug events associated with vitamin K antagonists: factors of therapeutic imbalance,"N El-Helou, A Al-Hajje, R Ajrouche, S Awada, S Rachidi, S Zein, ...","Vascular health and risk management, 81-88",2013,19
Smartphone addiction and personality traits among Lebanese adults: the mediating role of self-esteem,"E Sfeir, S Hallit, M Akel, P Salameh, S Obeid","Psychology, Health & Medicine 28 (5), 1190-1200",2023,18
"Fever among preschool-aged children: a cross-sectional study assessing Lebanese parents’ knowledge, attitudes and practices regarding paediatric fever assessment and management","F Sakr, Z Toufaili, Z Akiki, M Akel, D Malaeb, M Dabbous, P Salameh","BMJ open 12 (10), e063013",2022,18
"A national study of the association of attachment styles with depression, social anxiety, and suicidal ideation among Lebanese adolescents","N Fattouh, C Haddad, P Salameh, H Sacre, R Hallit, M Soufia, S Hallit, ...","The Primary Care Companion for CNS Disorders 24 (3), 41070",2022,18
Asthma prevalence and associated factors among lebanese adults: the first national survey,"Z Akiki, D Saadeh, R Farah, S Hallit, H Sacre, H Hosseini, P Salameh","BMC Pulmonary Medicine 21 (1), 162",2021,18
Factors associated with wheezing among Lebanese children: Results of a cross-sectional study,"D Malaeb, S Hallit, H Sacre, R Hallit, P Salameh","Allergologia et immunopathologia 48 (6), 523-529",2020,18
Antibiotic consumption in non-teaching Lebanese hospitals: A cross-sectional study,"K Iskandar, PA Hanna, P Salameh, EB Raad","Journal of infection and public health 9 (5), 618-625",2016,18
Females are more adherent to Lebanese Mediterranean diet than males among university students,"C Issa, L Jomaa, J Salamé, M Waked, B Barbour, N Zeidan, I Baldi, ...","Asian Pac J Health Sci 1 (4), 345-353",2014,18
Effects of night eating and binge eating disorders on general health in university students in Lebanon,"LM El Ayoubi, D Abou Ltaif, J El Masri, P Salameh","Irish Journal of Medical Science (1971-), 1-6",2022,17
Adherence to Post-stroke pharmacotherapy: Scale validation and correlates among a sample of stroke survivors,"F Sakr, M Dabbous, M Akel, P Salameh, H Hosseini","Medicina 58 (8), 1109",2022,17
Eating disorders and their relationship with menopausal phases among a sample of middle-aged Lebanese women,"J Khalil, S Boutros, N Kheir, M Kassem, P Salameh, H Sacre, M Akel, ...","BMC women's health 22 (1), 153",2022,17
School bullying—The silent epidemic: A cross-sectional study of factors associated with peer victimization among lebanese adolescents,"S Obeïd, H Sacre, S Hallit, P Salameh","Journal of interpersonal violence 37 (1-2), NP1147-NP1169",2022,17
The role of pharmacists in providing immunization to the general population: Are Lebanese pharmacists ready for this role?,"F Sakr, Z Akiki, M Dabbous, P Salameh, M Akel","Pharmacy Practice 19 (4), 2565",2021,17
The healthcare costs of antimicrobial resistance in Lebanon: a multi-centre prospective cohort study from the payer perspective,"K Iskandar, C Roques, S Hallit, R Husni-Samaha, N Dirani, R Rizk, ...","BMC Infectious Diseases 21 (1), 404",2021,17
Factors associated with empathy among community pharmacists in Lebanon,"E Hobeika, S Hallit, H Sacre, S Obeid, A Hajj, P Salameh","Journal of pharmaceutical policy and practice 13 (1), 32",2020,17
"Knowledge, attitude and practice of lebanese community pharmacists toward chronic obstructive pulmonary disease","S Hallit, RK Zeidan, S Saade, A Hajj, R Hallit, C Yahchouchy, N Kheir, ...","Journal of Epidemiology and Global Health 10 (1), 86-95",2020,17
"Factors associated with functional disability among Lebanese elderly living in rural areas: role of polypharmacy, alcohol consumption, and nutrition-based on the Aging and …","E Zgheib, E Ramia, S Hallit, C Boulos, P Salameh","Journal of epidemiology and global health 8 (1), 82-90",2018,17
An Arabic version of the geriatric depression scale (30 items): psychometric properties and some findings in a Lebanese elderly sample,"S Hallit, R Hallit, MC Daher, D Hachem, N Kheir, P Salameh","Psychopathology 51 (3), 177-185",2018,17
Physician-community pharmacist collaborative care in diabetes management: a pilot study,"BB Mouhtadi, MM Alame, B Malaeb, S Hallit, P Salameh, D Malaeb","Journal of Drug Assessment 7 (1), 61-65",2018,17
A retrospective analysis of 254 acute stroke cases admitted to two university hospitals in Beirut: classification and associated factors,"N Lahoud, MH Abbas, P Salameh, N Saleh, S Abes, H Hosseini, ...","Functional neurology 32 (1), 41",2017,17
Hyperreactive airway disease in adults: data from a national study in Lebanon,"J Salamé, P Tyan, P Salameh, M Waked","Lebanese Medical Journal 103 (1400), 1-7",2014,"17
*"
Work ethics and ethical attitudes among healthcare professionals: the role of leadership skills in determining ethics construct and professional behaviors,"F Sakr, C Haddad, RM Zeenny, H Sacre, M Akel, K Iskandar, A Hajj, ...","Healthcare 10 (8), 1399",2022,16
Factors associated with knowledge and awareness of stroke among the Lebanese population: a cross-sectional study,"D Malaeb, N Dia, C Haddad, S Hallit, H Sacre, M Barakat, S Mansour, ...","F1000Research 11, 425",2022,16
Migraine attacks among Lebanese university medical students: A cross sectional study on prevalence and correlations,"S Chahine, S Wanna, P Salameh","Journal of Clinical Neuroscience 100, 1-6",2022,16
"Addictive profiles of Lebanese university students in terms of smoking, alcohol, and illegal drug use","C Chalhoub, S Obeid, R Hallit, P Salameh, S Hallit","Environmental Science and Pollution Research 28 (41), 57657-57666",2021,16
Knowledge and attitude toward waterpipe smoking: scale validation and correlates in the Lebanese adult population,"R Farah, C Haddad, H Sacre, S Hallit, P Salameh","Environmental Science and Pollution Research 27 (25), 31250-31258",2020,16
Hypertension prevalence and living conditions related to air pollution: results of a national epidemiological study in Lebanon,"P Salameh, M Chahine, S Hallit, R Farah, RK Zeidan, R Asmar, ...","Environmental Science and Pollution Research 25, 11716-11728",2018,16
Motivation to quit smoking and acceptability of shocking warnings on cigarette packages in Lebanon,"N Layoun, P Salameh, M Waked, Z Aoun Bacha, RM Zeenny, E El Hitti, ...","Patient preference and adherence, 331-342",2017,16
Antibiotic resistance in Lebanon,"P Salameh, H Sacre, S Hallit, A Hajj","AMR Control, 21-27",2017,16
Change in pulse wave velocity and short‐term development of cardiovascular events in the hemodialysis population,"S Korjian, Y Daaboul, B El‐Ghoul, S Samad, P Salameh, G Dahdah, ...","The Journal of Clinical Hypertension 18 (9), 857-863",2016,16
The Young Adults' Cigarette Dependence (YACD) score: an improved tool for cigarette dependence assessment in university students,"P Salameh, L Jomaa, G Farhat, H Zeghondi, N Gerges, C Issa, ...","Addictive Behaviors 38 (5), 2174-2179",2013,"16
*"
Health promotion,C TIPS,,1997,16
"Urticarial vasculitis differs from chronic spontaneous urticaria in time to diagnosis, clinical presentation, and need for anti-inflammatory treatment: an international …","H Bonnekoh, J Jelden-Thurm, A Allenova, Y Chen, I Cherrez-Ojeda, ...","The Journal of Allergy and Clinical Immunology: In Practice 11 (9), 2900 …",2023,15
"Association between parental divorce and anger, aggression, and hostility in adolescents: results of a National Lebanese Study","M Zakhour, C Haddad, P Salameh, L Al Hanna, H Sacre, R Hallit, ...","Journal of family issues 44 (3), 587-609",2023,15
"Construction and validation of the 17-item stroke-specific quality of life scale (SS-QOL-17): a comprehensive short scale to assess the functional, psychosocial, and …","F Sakr, M Dabbous, M Akel, P Salameh, H Hosseini","International Journal of Environmental Research and Public Health 19 (23), 15668",2022,15
"Boredom proneness, loneliness, and smartphone addiction among Lebanese young adults: the mediating role of depression, anxiety, and stress","D Malaeb, M Akel, P Salameh, S Hallit, S Obeid","The primary care companion for CNS disorders 24 (6), 43747",2022,15
Factors related to autonomy among Lebanese women: a web-based cross-sectional study,"S Bou Malhab, H Sacre, D Malaeb, N Lahoud, D Khachman, J Azzi, ...","BMC women's health 21, 1-12",2021,15
Correlates associated with mental health and nutritional status in Lebanese older adults: A cross-sectional study,"S Hallit, MC Daher, R Hallit, D Hachem, N Kheir, P Salameh","Archives of Gerontology and Geriatrics 87, 103879",2020,15
Emphasizing the role of pharmacist as a researcher: the Lebanese order of pharmacists’ perspective,"S Hallit, A Hajj, H Sacre, RM Zeenny, M Akel, G Sili, P Salameh","Journal of research in pharmacy practice 8 (4), 229-230",2019,15
"Factors associated with alexithymia among the Lebanese population: Results of a cross-sectional study. BMC Psychology, 7, Article 80","S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh, S Hallit",,2019,15
Self-reported history of stroke and long-term living conditions near air pollution sources: results of a national epidemiological study in Lebanon,"P Salameh, R Farah, S Hallit, RK Zeidan, MN Chahine, R Asmar, ...","Environmental monitoring and assessment 190, 1-12",2018,15
Coronary heart disease risk in patients with schizophrenia: a Lebanese cross-sectional study,"C Haddad, S Hallit, P Salameh, T Bou-Assi, M Zoghbi","Journal of Comorbidity 7 (1), 79-88",2017,15
Renal function decline in recipients and donors of kidney grafts: role of aortic stiffness,"SA Bahous, M Khairallah, J Al Danaf, R Halaby, S Korjian, Y Daaboul, ...","American journal of nephrology 41 (1), 57-65",2015,15
Urticaria exacerbations and adverse reactions in patients with chronic urticaria receiving COVID-19 vaccination: Results of the UCARE COVAC-CU study,"E Kocatürk, P Salameh, E Sarac, CEV Ayala, SF Thomsen, T Zuberbier, ...","Journal of Allergy and Clinical Immunology 152 (5), 1095-1106",2023,14
Association between personality traits and phubbing: The co-moderating roles of boredom and loneliness,"C Abi Doumit, D Malaeb, M Akel, P Salameh, S Obeid, S Hallit","Healthcare 11 (6), 915",2023,14
"Depression, anxiety, insomnia, stress, and the way of coping emotions as risk factors for ischemic stroke and their influence on stroke severity: A case–control study in Lebanon","E Maalouf, S Hallit, P Salameh, H Hosseini","Frontiers in psychiatry 14, 1097873",2023,14
Association of chronic urticaria with psychological distress: a multicentre cross-sectional study,"S Tawil, C Irani, R Kfoury, S Abramian, P Salameh, K Weller, M Maurer, ...","Acta Dermato-Venereologica 103, 2939",2023,14
Postpartum depression and anxiety among lebanese women: Correlates and scales psychometric properties,"E Hobeika, D Malaeb, S Obeid, P Salameh, E Hobeika, M Outayek, ...","Healthcare 11 (2), 201",2023,14
"Managing endothelial dysfunction in COVID‐19 with statins, beta blockers, nicorandil, and oral supplements: A pilot, double‐blind, placebo‐controlled, randomized clinical trial","K Matli, A Al Kotob, W Jamaleddine, S Al Osta, P Salameh, R Tabbikha, ...","Clinical and Translational Science 15 (10), 2323-2330",2022,14
Willingness to pay for a coronavirus vaccine and its associated determinants in Lebanon,"MM Karam, JA Baki, A Al-Hajje, M Sraj, S Awada, P Salameh, R Ajrouche","Value in health regional issues 30, 18-25",2022,14
Assessment of drug-prescribing perception and practice among dental care providers: a cross-sectional Lebanese study,"A Hajj, C Azzo, S Hallit, P Salameh, H Sacre, F Abdou, N Naaman, ...",Pharmacy Practice (Granada) 19 (1),2021,14
"Prevalence of asthma, its correlates, and validation of the Pre-School Asthma Risk Factors Scale (PS-ARFS) among preschool children in Lebanon","S Hallit, H Sacre, N Kheir, R Hallit, M Waked, P Salameh","Allergologia et Immunopathologia 49 (1), 40-49",2021,14
Upgrading pharmacy education to produce practice-ready pharmacists in Lebanon,"H Sacre, SR Hallit, A Hajj, RM Zeenny, EB Raad, MG Akel, G Sili, ...",International Pharmaceutical Federation,2020,14
A prospective observational cohort of clinical outcomes in medical inpatients prescribed pharmacological thromboprophylaxis using different clinical risk assessment models …,"N Chamoun, S Matta, SS Aderian, R Salibi, P Salameh, G Tayeh, ...","Scientific reports 9 (1), 18366",2019,14
Economic burden of urinary tract infections from antibiotic-resistant Escherichia coli among hospitalized adult patients in Lebanon: a prospective cohort study,"K Iskandar, R Rizk, R Matta, R Husni-Samaha, H Sacre, E Bouraad, ...","Value in health regional issues 25, 90-98",2021,13
Evaluation of marginal and internal fit of presintered Co‐Cr and zirconia three‐unit fixed dental prosthesis compared to cast Co‐Cr,"EE Daou, NZ Baba","Journal of Prosthodontics 29 (9), 792-799",2020,13
Factors associated with anxiety disorders among patients with substance use disorders in Lebanon: results of a cross‐sectional study,"C Haddad, MJ Darwich, S Obeid, H Sacre, M Zakhour, F Kazour, ...","Perspectives in Psychiatric Care 56 (4), 745-752",2020,13
The Arabic urticaria activity score and chronic urticaria quality of life questionnaire: validation and correlations,"S Tawil, C Irani, R Kfoury, P Salameh, I Baiardini, K Weller, M Maurer, ...","International Journal of Dermatology 59 (8), 893-901",2020,13
"Effect of waterpipe dependence on risk motives, attitudes and other health-related risky behaviors in Lebanese university students","S Hallit, H Sacre, P Salameh","Environmental Science and Pollution Research 27 (4), 4390-4403",2020,13
The impact of textual and pictorial warnings on tumbac (waterpipe tobacco) boxes on the motivation and intention to quit waterpipe smoking in Lebanon: a cross-sectional study,"S Hallit, N Layoun, D Malaeb, M Outayek, MJ Boueid, M Waked, ...","Environmental Science and Pollution Research 26, 36647-36657",2019,13
Voluntary vs. compulsory student evaluation of clerkships: effect on validity and potential bias,"S Aoun Bahous, P Salameh, A Salloum, W Salameh, YS Park, A Tekian","BMC medical education 18, 1-10",2018,13
Noncardiac Lebanese hospitalized adult patients’ awareness of their coronary artery disease risk factors,"F Ghaddar, P Salameh, N Saleh, F Farhat, R Chahine, N Lahoud, ...","Vascular Health and Risk Management, 371-382",2018,13
Validation of the OMRON M3500 Blood Pressure Measuring Device Using Normal‐and High‐Speed Modes in Adult and Specific Populations (Obese and Children) According to AAMI Protocol,"MN Chahine, N Assemaani, G Sayed Hassan, M Cham, P Salameh, ...","The Journal of Clinical Hypertension 17 (8), 622-629",2015,13
Could symptoms and risk factors diagnose COPD? Development of a diagnosis score for COPD,"P Salameh, G Khayat, M Waked","Clinical epidemiology, 247-255",2012,13
Cigarette smokers' profile in Lebanese adults.,"M Waked, G Khayat, P Salameh",Journal of Research in Health Sciences 12 (2),2012,13
"Protection of medical and paramedical university students in Lebanon against measles, mumps, rubella and varicella: Active measures are needed","S Chamat, P Salameh, N Haddad, A Berry, P Chedid, ...","Journal of infection and public health 4 (3), 125-134",2011,13
Pattern of obesity and associated diabetes in Lebanese adolescents: a pilot study,"P Salameh, B Barbour","Eastern Mediterranean Health Journal 17 (3), 226",2011,13
The combined outcomes of the COVID-19 pandemic and a collapsing economy on mental well-being: A cross-sectional study,"H Sacre, A Hajj, DA Badro, C Abou Selwan, C Haddad, R Aoun, ...","Psychological reports 127 (1), 64-91",2024,12
Pharmacy education and workforce: strategic recommendations based on expert consensus in Lebanon,"A Hajj, RM Zeenny, H Sacre, M Akel, C Haddad, P Salameh","Journal of pharmaceutical policy and practice 16 (1), 1",2023,12
"Social anxiety and its correlates among Lebanese adults: role of self-esteem, depression, alcohol use disorder, alexithymia, and work fatigue","K Fares, C Haddad, D Malaeb, H Sacre, M Akel, P Salameh, S Obeid, ...","The primary care companion for CNS disorders 24 (1), 39101",2022,12
Assessment of the awareness and usages of family planning methods in the Lebanese community,"G El Khoury, P Salameh","BMJ Sexual & Reproductive Health 45 (4), 269-274",2019,12
Medication safety spontaneous reporting system: the Lebanese Order of Pharmacists Initiative,"M Akel, E Ramia, A Hajj, S Hallit, N Lahoud, A Zaytoun, M Harb, H Hajj, ...","Bulletin of Faculty of Pharmacy, Cairo University 57 (1), 66-81",2019,12
Care and discharge outcome of acute stroke in Lebanon: A hospital-based study,"N Lahoud, P Salameh, H Hosseini, N Saleh, E Rizk, S Hallit, MH Abbas, ...","The Journal of nervous and mental disease 206 (8), 637-643",2018,12
"Asthma, indoor and outdoor air pollution: a pilot study in Lebanese school teenagers","P Salameh, C Karaki, S Awada, S Rachidi, A Al Hajje, W Bawab, N Saleh, ...","Revue Des Maladies Respiratoires 32 (7), 692-704",2015,12
Symptoms and acute pesticide intoxication among agricultural workers in Lebanon.,"PR Salameh, B Abi Saleh","Le Journal Medical Libanais. The Lebanese Medical Journal 52 (2), 64-70",2004,12
"Experiences of cultural differences, discrimination, and healthcare access of displaced Syrians (DS) in Lebanon: a qualitative study","R Khalifeh, W D’Hoore, C Saliba, P Salameh, M Dauvrin","Healthcare 11 (14), 2013",2023,11
Assessing the relationship between food insecurity and lifestyle behaviors among university students: a comparative study between Lebanon and Germany,"R Rizk, C Haddad, H Sacre, D Malaeb, H Wachten, J Strahler, P Salameh","BMC Public Health 23 (1), 807",2023,11
Driving anger dimensions and their relationship with aberrant driver behavior in Lebanon: Results from a national self-reported survey,"D Youssef, P Salameh, L Abou-Abbas, LR Salmi","PLoS one 18 (3), e0283293",2023,11
The effect of research on the perceived quality of teaching: a cross-sectional study among university students in Lebanon,"H Sacre, M Akel, C Haddad, RM Zeenny, A Hajj, P Salameh","BMC Medical Education 23 (1), 31",2023,11
Dietary patterns and birth outcomes of healthy Lebanese pregnant women,"T Papazian, P Salameh, G Abi Tayeh, A Kesrouani, C Aoun, ...","Frontiers in Nutrition 9, 977288",2022,11
"Association between computer vision syndrome, insomnia, and migraine among Lebanese adults: the mediating effect of stress","M Akiki, S Obeid, P Salameh, D Malaeb, M Akel, R Hallit, S Hallit","The Primary Care Companion for CNS Disorders 24 (4), 42261",2022,11
Financial wellbeing and quality of life among a sample of the Lebanese population: the mediating effect of food insecurity,"J Karam, C Haddad, H Sacre, M Serhan, P Salameh, L Jomaa","Frontiers in Nutrition 9, 906646",2022,11
Knowledge and response to stroke among Lebanese adults: a population-based survey,"S Saade, S Hallit, P Salameh, H Hosseini","Frontiers in Public Health 10, 891073",2022,11
The current trends and challenges towards good community pharmacy practice and the way forward,"AW Bou-Saba, KM Kassak, PR Salameh","Exploratory Research in Clinical and Social Pharmacy 6, 100152",2022,11
Lebanese pharmacy core competencies framework: tool validation for self-declared assessment,"A Hajj, S Hallit, H Sacre, M Akel, RM Zeenny, P Salameh","International Journal of Pharmacy Practice 29 (6), 598-604",2021,11
Epidemiology and incidence of retinoblastoma in the middle east: A nationwide study in Lebanon,"S El Hage, E Wakim, L Daou, J El Masri, P Salameh",Cureus 13 (10),2021,11
Descriptive assessment of graduates' perceptions of pharmacy-related competencies based on the Lebanese pharmacy core competencies framework,"RM Zeenny, M Akel, A Hajj, H Sacre, S Hallit, P Salameh",Pharmacy Practice (Granada) 19 (2),2021,11
The Lebanese depression scale: a scale to screen for depression in the Lebanese population,"S Obeid, C Haddad, H Sacre, M Akel, C Chalhoub, C Rahme, ...","Perspectives in psychiatric care 57 (2), 620-626",2021,11
Medication adherence for secondary stroke prevention and its barriers among Lebanese survivors: a cross-sectional study,"S Saade, R Kobeissy, S Sandakli, D Malaeb, N Lahoud, S Hallit, ...","Clinical Epidemiology and Global Health 9, 338-346",2021,11
Prescription and dispensing guidelines in Lebanon: initiative of the Order of Pharmacists of Lebanon,"A Hajj, H Sacre, S Hallit, RM Zeenny, G Sili, P Salameh","Journal of pharmaceutical policy and practice 13, 1-5",2020,11
Are antibiotics substandard in Lebanon? Quantification of active pharmaceutical ingredients between brand and generics of selected antibiotics,"E Hobeika, J Farhat, J Saab, W Hleihel, S Azzi-Achkouty, G Sili, S Hallit, ...","BMC Pharmacology and Toxicology 21, 1-12",2020,11
Towards a zero-COVID Lebanon: a call for action,"JM Abi-Rached, N Issa, J Khalife, P Salameh, A Karra-Aly, ...",Paris: Arab Reform Initiative,2020,11
Self-reported attitudes about medication in Lebanese people with epilepsy,"L Mroueh, F Boumediene, J Jost, V Ratsimbazafy, PM Preux, P Salameh, ...","Epilepsy & Behavior 98, 80-87",2019,11
Are Lebanese schools adopting a health promotion approach in their curricula?,"M Akel, I Fahs, P Salameh, E Godeau","Health Education Journal 78 (4), 476-485",2019,11
Validation of the Arabic version of the geriatric anxiety scale among Lebanese population of older adults,"S Hallit, R Hallit, D Hachem, M Nasra, N Kheir, P Salameh","J Psychopathol 1 (1), 26-34",2017,11
Stroke risk factors: a hospital-based case-control study in Lebanon,"M El-Hajj, P Salameh, S Rachidi, A Al-Hajje, N Lahoud, H Hosseini","JR Soc Med 8 (6), 1-10",2017,11
Hydrodynamic modelling of the shock ignition scheme for inertial confinement fusion,A Vallet,Université de Bordeaux,2014,11
"Variation of thymol, carvacrol and thymoquinone production from wild and cultivated Origanum syriacum of South Lebanon","S Zein, S Awada, A Al-Hajje, S Rachidi, P Salameh, H Kanaan","Journal of Medicinal Plants Research 6 (9), 1692-1696",2012,11
The 7-day recall period version of the Urticaria Control Test—UCT7,"T Buttgereit, P Salameh, O Sydorenko, T Zuberbier, M Metz, K Weller, ...","Journal of Allergy and Clinical Immunology 152 (5), 1210-1217. e14",2023,10
A pilot assessment of the career and job satisfaction of the pharmaceutical workforce in Lebanon,"E Nassar, S Kassouf, A Hajj, H Sacre, M Akel, RM Zeenny, C Haddad, ...","Journal of Pharmaceutical Policy and Practice 15 (1), 93",2022,10
Psychometric properties of the 37-item functional assessment of cancer therapy-cognitive function (FACT-Cog) scale,"A Hajj, P Salameh, R Khoury, R Hachem, H Sacre, G Chahine, J Kattan, ...","Future Oncology 18 (33), 3741-3753",2022,10
Contribution of Arab countries to Behçet disease research: a PubMed-based bibliometric and altmetric analysis,"J El Masri, S El Hage, A Akoum, I Awaida, F Kourani, H Chanbour, ...","Rheumatology International 42 (1), 133-140",2022,10
Self-assessment of social cognition in a sample of Lebanese in-patients with schizophrenia,"C Haddad, P Salameh, S Hallit, H Sacre, JP Clément, B Calvet","Schizophrenia Research: Cognition 26, 100207",2021,10
Substance use among refugees in three Lebanese camps: A cross-sectional study,"Z Abbas, C Eiden, P Salameh, H Peyriere","International Journal of Drug Policy 94, 103204",2021,10
COVID-19 outbreak: Does confinement have any impact on weight change perception?,"C Haddad, M Zakhour, G Siddik, R Haddad, H Sacre, P Salameh","Nutrition clinique et métabolisme 35 (2), 137-143",2021,"10
*"
Atrial fibrillation in the Arab world: a bibliometric analysis of research activity from 2004 to 2019,"D Akiki, S El Hage, E Wakim, S Safi, E Assouad, P Salameh","Journal of Cardiac Arrhythmias 34 (1), 12-22",2021,10
"Pharmacy education, workforce, practice, and sciences in Lebanon: benchmarking with the FIP Development Goals","H Sacre, MG Akel, RM Zeenny, A Hajj, SR Hallit, PR Salameh",International Pharmaceutical Federation,2021,10
Medication adherence among Lebanese adult patients with hypothyroidism: Validation of the Lebanese Medication Adherence Scale and correlates,"S Hallit, C Haddad, H Sacre, C Rahme, M Akel, N Saleh, C Chalhoub, ...","Clinical Epidemiology and Global Health 9, 196-201",2021,10
Epidemiology of bacterial meningitis in Lebanon from 2011 to 2019,"A El Kareh, S El Hage, S Safi, E Assouad, E Mokled, P Salameh","Journal of Clinical Neuroscience 81, 32-36",2020,10
Longer durations of both exclusive and mixed breastfeeding are associated with better health in infants and toddlers,"C Issa, M Hobeika, P Salameh, RK Zeidan, L Mattar","Breastfeeding Review 27 (2), 17-27",2019,10
Assessment of bleeding in chronic liver disease and coagulopathy using the IMPROVE bleeding criteria,"N Chamoun, E Ramia, C Lteif, P Salameh, H Zantout, G Ghanem, ...","Current Medical Research and Opinion 35 (3), 427-433",2019,10
Public knowledge and attitude towards antibiotic use in Lebanon,"M Khalifeh, N Moore, P Salameh","American Journal of Epidemiology and Infectious Disease 5 (2), 35-41",2017,10
Health behaviors among school-aged children: a cross sectional study in Lebanese private schools,"R Abdo, R Zeenny, P Salameh","International journal of mental health and addiction 14, 1003-1022",2016,10
Bayesian and frequentist comparison for epidemiologists: A non mathematical application on logistic regressions,"P Salameh, M Waked, G Khayat, M Dramaix","Open Epidemiol J 7, 17-26",2014,10
Statins decrease mortality in Lebanese patients with sepsis: A multicenter study,"R Ajrouche, A Al-Hajje, N El-Helou, S Awada, S Rachidi, S Zein, ...","Pharmacy practice 11 (2), 102",2013,10
Satisfaction of pharmacists in Lebanon and the prospect for clinical pharmacy/La satisfaction des pharmaciens au Liban et la perspective de la pharmacie clinique,"RB Antoun, P Salameh","Eastern Mediterranean Health Journal 15 (6), 1553-1564",2009,10
The specialized competency framework for community pharmacists (SCF-CP) in Lebanon: validation and evaluation of the revised version,"F Sakr, M Akel, H Sacre, C Haddad, S Tawil, J Safwan, A Hajj, RM Zeenny, ...","Journal of Pharmaceutical Policy and Practice 16 (1), 77",2023,9
Facial involvement is reflective of patients’ global perception of vitiligo extent,"S Merhi, P Salameh, M Abboud, J Seneschal, V Eleftheriadou, I Pane, ...","British Journal of Dermatology 189 (2), 188-194",2023,"9
*"
Knowledge and attitude towards monkeypox among the Lebanese population and their attitude towards vaccination,"Y Jamaleddine, A Abou El Ezz, M Mahmoud, O Ismail, A Saifan, Z Mayta, ...","Journal of Preventive Medicine and Hygiene 64 (1), E13",2023,9
Challenges and opportunities to provide immunization services: Analysis of data from a cross‐sectional study on a sample of pharmacists in a developing country,"F Sakr, M Dabbous, M Rahal, P Salameh, M Akel","Health Science Reports 6 (4), e1206",2023,9
The association of management and leadership competencies with work satisfaction among pharmacists in Lebanon,"L Zeineddine, H Sacre, C Haddad, MR Zeenny, M Akel, A Hajj, ...","Journal of pharmaceutical policy and practice 16 (1), 48",2023,9
Acute flaccid paralysis incidence rate and epidemiology in children in Lebanon: a rise in numbers in the post-vaccination and refugee crisis era,"S El Hage, S Safi, E Assouad, A El Kareh, E Mokled, P Salameh","African Health Sciences 22 (2), 116-124",2022,9
"Research, ranking, and university branding: Investment for excellence in health professions’ education","P Salameh, O Kolokotroni, C Constantinou","Pharmacy Education 22 (1), 404-408",2022,9
Living with chronic obstructive pulmonary disease in Lebanon: a phenomenological study,"RG Nohra, JM Morvillers, H Sacre, P Salameh, M Rothan-Tondeur","Eastern Mediterranean Health Journal 28 (2), 114-120",2022,9
Knowledge of Antibiotics Use among Lebanese Adults: A study on the influence of sociodemographic characteristics,"AM Henaine, N Lahoud, R Abdo, R Shdeed, J Safwan, M Akel, I Fahs, ...","Sultan Qaboos University Medical Journal 21 (3), 442",2021,9
Adherence to the Mediterranean diet decreases the risk of stroke in the Lebanese population: a case-control study,"M El-Hajj, P Salameh, S Rachidi, A Al-Hajje, H Hosseini",Pharmacy Practice (Granada) 19 (1),2021,9
Lebanese pharmacists’ confidence and self-perceptions of computer literacy: scale validation and correlates,"S Hallit, S Tawil, H Sacre, C Rahme, A Hajj, P Salameh","Journal of Pharmaceutical Policy and Practice 13, 1-8",2020,9
Patients’ perceptions regarding pharmacists’ healthcare services: the case of Lebanon,"S Tawil, H Sacre, G Sili, P Salameh","Journal of Pharmacy Practice and Research 50 (2), 137-143",2020,9
Evaluation of discharge instructions among hospitalized Lebanese patients,"M Fares, D Khachman, P Salameh, N Lahoud",Pharmacy Practice (Granada) 18 (1),2020,9
"Evaluating the feasibility, acceptability and pre testing the impact of a self-management and tele monitoring program for chronic obstructive pulmonary disease patients in …","RG Nohra, H Sacre, P Salameh, M Rothan-Tondeur","Medicine 99 (6), e19021",2020,9
