id,name,organization,profile link,affiliation,majors
rH22bDgAAAAJ,Rima Malek,Lebanese University,https://scholar.google.com/citations?hl=en&user=rH22bDgAAAAJ,"Associate Professor, Lebanese University",ICT for Education
MpavxhgAAAAJ,Maroun Khreich,Lebanese University,https://scholar.google.com/citations?hl=en&user=MpavxhgAAAAJ,"Associate Professor, Lebanese University",ancient near eastern studies
scrVERYAAAAJ,Reine Najem,Lebanese University,https://scholar.google.com/citations?hl=en&user=scrVERYAAAAJ,Doctoral Researcher _ Lebanese University,Business-Accounting-Finance-Sustainability …
1tyw0DkAAAAJ,Rami Rifi,Lebanese University,https://scholar.google.com/citations?hl=en&user=1tyw0DkAAAAJ,"Faculty of Medicine, Lebanese University",Medicine
hGH53WIAAAAJ,Yasmina El Masri,Lebanese University,https://scholar.google.com/citations?hl=en&user=hGH53WIAAAAJ,Lebanese University,Dentistry
UQI_1boAAAAJ,Hanaa Jaber,Lebanese University,https://scholar.google.com/citations?hl=en&user=UQI_1boAAAAJ,Lebanese University,SLA Digital language learning Adult learning & SDL Mobile-learning Curriculum Design
VdJ7v1UAAAAJ,Alain Akl,Lebanese University,https://scholar.google.com/citations?hl=en&user=VdJ7v1UAAAAJ,"Lebanese University, Doctorate School of Law and Political Administrative and Economic …",Political science Global Governance Security Policies International relations
lRVH0VoAAAAJ,Majd Aryan,Lebanese University,https://scholar.google.com/citations?hl=en&user=lRVH0VoAAAAJ,Lebanese University Faculty of Engineering,Cellular Networks Telecommunication Systems Artificial Intelligence
Xp9UcOcAAAAJ,Yves Mansour,Lebanese University,https://scholar.google.com/citations?hl=en&user=Xp9UcOcAAAAJ,"PhD, Mechanical engineering, Lebanese University",Mechanical Thermal Combustion Automation
IxSAJ_sAAAAJ,Hussein Wannous,Lebanese University,https://scholar.google.com/citations?hl=en&user=IxSAJ_sAAAAJ,Professor of architecture and urban planning. Lebanese University,architecture and urban planning
Im4POA0AAAAJ,Ibrahim Srour,Lebanese University,https://scholar.google.com/citations?hl=en&user=Im4POA0AAAAJ,"Professor of Applied Linguistics, Lebanese University",Stylistics CDA Feminism Diplomatic Discourse Post-colonialism
im06F1sAAAAJ,Manal Sinno,Lebanese University,https://scholar.google.com/citations?hl=en&user=im06F1sAAAAJ,Lebanese University,Education Language Learning TELF ESL
52sEhM8AAAAJ,Fady Calarge,Lebanese University,https://scholar.google.com/citations?hl=en&user=52sEhM8AAAAJ,Lebanese University,Education didactics
os52LIgAAAAJ,Nourhan Kanso,Lebanese University,https://scholar.google.com/citations?hl=en&user=os52LIgAAAAJ,Lebanese University,Medical Student
ecMhbkgAAAAJ,Naseeb Danaf,Lebanese University,https://scholar.google.com/citations?hl=en&user=ecMhbkgAAAAJ,Lebanese University,Medicine
n5cpEkMAAAAJ,Elie Azzi,Lebanese University,https://scholar.google.com/citations?hl=en&user=n5cpEkMAAAAJ,"Professor of Economics, Lebanese University",Resilience Economic Resilience Banking System
QW9Rrc8AAAAJ,Mustafa Badawi,Lebanese University,https://scholar.google.com/citations?hl=en&user=QW9Rrc8AAAAJ,Lebanese University,Computer Engineering Fingerprint recognition
sfzwN50AAAAJ,"Walid Slaiby, Ph.D.",Lebanese University,https://scholar.google.com/citations?hl=en&user=sfzwN50AAAAJ,"Assistant Professor of Management & Marketing, Lebanese University",Strategic Management Business Transformation Leadership Entrepreneurship & Digital Business
5DBE6hsAAAAJ,Farah Sbeity,Lebanese University,https://scholar.google.com/citations?hl=en&user=5DBE6hsAAAAJ,Assistant professor at Lebanese University,Smart Libraries AI Information Literacy Media Literacy LAM Sector
9GyMspEAAAAJ,Mariam Mikhaïl Faransis,Lebanese University,https://scholar.google.com/citations?hl=en&user=9GyMspEAAAAJ,"Author, Writer and Professor of Stylistics, at the rank of Professor, at the Lebanese University",writer and author of several research studies …
jbT6c6MAAAAJ,Houssam Mohiedine,Lebanese University,https://scholar.google.com/citations?hl=en&user=jbT6c6MAAAAJ,Lebanese university,history
hQqIN-cAAAAJ,Elias Ghosein,Lebanese University,https://scholar.google.com/citations?hl=en&user=hQqIN-cAAAAJ,Lebanese University,
1CbuCG0AAAAJ,amena hijazi,Lebanese University,https://scholar.google.com/citations?hl=en&user=1CbuCG0AAAAJ,"Master's graduate, Lebanese university",Dialogue Teaching Mathematical langauge AI in education
WkCh9S4AAAAJ,Hussein Kteish,Lebanese University,https://scholar.google.com/citations?hl=en&user=WkCh9S4AAAAJ,"Master's in computer science, Lebanese University",Ai ML Data Mangment
gCt4jnUAAAAJ,Dany Abi Karam,Lebanese University,https://scholar.google.com/citations?hl=en&user=gCt4jnUAAAAJ,"Assistant Professor, Lebanese University",Arts Philosophy of Art Artificial Intelligence
7oaMBBMAAAAJ,Siba Maraachli,Lebanese University,https://scholar.google.com/citations?hl=en&user=7oaMBBMAAAAJ,Lebanese University,
dPzRYhIAAAAJ,Hadi Ftouni,Lebanese University,https://scholar.google.com/citations?hl=en&user=dPzRYhIAAAAJ,"Medical Student, Lebanese University",medicine orthopedic sport medicine genetics.
33APig8AAAAJ,Sandra Aboudaher,Lebanese University,https://scholar.google.com/citations?hl=en&user=33APig8AAAAJ,Lebanese university,
6xc3NU4AAAAJ,Mira Al Shoufi,Lebanese University,https://scholar.google.com/citations?hl=en&user=6xc3NU4AAAAJ,Lebanese university,
0GdSOdYAAAAJ,Rabih Bedwany Makhlouf,Lebanese University,https://scholar.google.com/citations?hl=en&user=0GdSOdYAAAAJ,Lebanese University. PhD.,Management
sSN2VmQAAAAJ,Raoul Kassis,Lebanese University,https://scholar.google.com/citations?hl=en&user=sSN2VmQAAAAJ,"Medical student, Lebanese University",Radiology Internal Medicine
HukKOjcAAAAJ,Abbas Rachid,Lebanese University,https://scholar.google.com/citations?hl=en&user=HukKOjcAAAAJ,"Medical Doctor, Lebanese University",Cardiology
qSnMIHcAAAAJ,Elie Akl,American University of Beirut,https://scholar.google.com/citations?hl=en&user=qSnMIHcAAAAJ,"Professor of Medicine, American University of Beirut",Health Research Methodology guidelines
JML0j0MAAAAJ,Fadlo R. Khuri,American University of Beirut,https://scholar.google.com/citations?hl=en&user=JML0j0MAAAAJ,"President and Professor, American University of Beirut",cancer cancer research genomics lung cancer oncology
9Xy85uoAAAAJ,Abla Mehio Sibai,American University of Beirut,https://scholar.google.com/citations?hl=en&user=9Xy85uoAAAAJ,American University of Beirut,Epidemiology NCD Aging
D58c7QMAAAAJ,Mohamed H. Sayegh,American University of Beirut,https://scholar.google.com/citations?hl=en&user=D58c7QMAAAAJ,"Professor of Medicine and Immunology, American University of Beirut",Transplantation Immunobiology
V4HglGUAAAAJ,Carla Makhlouf Obermeyer,American University of Beirut,https://scholar.google.com/citations?hl=en&user=V4HglGUAAAAJ,Faculty of Health Sciences American University of Beirut,public health medical anthropology gender global health
LgZ-9LkAAAAJ,Raymond Sawaya,American University of Beirut,https://scholar.google.com/citations?hl=en&user=LgZ-9LkAAAAJ,"Vice President for Medical Affairs and Dean of Medicine, American University of Beirut",Brain Tumors Neurosurgery
CPxAinwAAAAJ,Samia Khoury,American University of Beirut,https://scholar.google.com/citations?hl=en&user=CPxAinwAAAAJ,"Professor of Neurology, American University of Beirut & visiting professor of Neurology …",Multiple sclerosis EAE Immunology
TleQiv4AAAAJ,Ali T. Taher,American University of Beirut,https://scholar.google.com/citations?hl=en&user=TleQiv4AAAAJ,"Professor of Medicine, Hematology & Oncology, American University of Beirut Medical …",Thalassemia Sickle Cell Disease Thrombosis Bleeding Anemia
dicpCzQAAAAJ,Fuad N. Ziyadeh,American University of Beirut,https://scholar.google.com/citations?hl=en&user=dicpCzQAAAAJ,"Professor of Medicine & Biochemistry, American University of Beirut",Kidney diabetic nephropathy growth factors extracellular matrix & fibrosis podocyte injury
re-OySAAAAAJ,Souha Kanj,American University of Beirut,https://scholar.google.com/citations?hl=en&user=re-OySAAAAAJ,"Professor of Medicine and Infectious Diseases, American University of Beirut",infectious diseases infection control antimicrobial resistance and stewardship fungal infections
LK_eOR4AAAAJ,Ghada El-Hajj Fuleihan,American University of Beirut,https://scholar.google.com/citations?hl=en&user=LK_eOR4AAAAJ,"Professor of Medicine, American University of Beirut",Bone Calcium metabolism Endocrinology Osteoporosis
iPbwqzkAAAAJ,Hani Tamim,American University of Beirut,https://scholar.google.com/citations?hl=en&user=iPbwqzkAAAAJ,American Universsity of Beirut,Epidemiology biostatistics clinical research
J1DU-tUAAAAJ,Rami Zurayk,American University of Beirut,https://scholar.google.com/citations?hl=en&user=J1DU-tUAAAAJ,American University of Beirut,Socio-ecological systems Rural development landscape analysis political ecology
BOfmCbgAAAAJ,Ali Hani Chamseddine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=BOfmCbgAAAAJ,"Professor of Theoretical Physics, American University of Beirut",Theoretical Physics Mathematical Physics Supersymmetry Noncommutative Geometry General Relativity
DwPAvQ0AAAAJ,Ala I. Sharara,American University of Beirut,https://scholar.google.com/citations?hl=en&user=DwPAvQ0AAAAJ,"Professor of Medicine, American University of Beirut Medical Center",Gastroenterology and Hepatology
SjF0h9EAAAAJ,Nagi El Saghir,American University of Beirut,https://scholar.google.com/citations?hl=en&user=SjF0h9EAAAAJ,"Professor of Clinical Medicine, American University of Beirut",Breast Cancer Guidelines Medical Oncology Screening Genetics Resources
al-QXg4AAAAJ,Kamal Badr,American University of Beirut,https://scholar.google.com/citations?hl=en&user=al-QXg4AAAAJ,"Professor of Medicine, American University of Beirut",nephrology
EusUlu4AAAAJ,Ibrahim H. Osman,American University of Beirut,https://scholar.google.com/citations?hl=en&user=EusUlu4AAAAJ,"Sawaf Chair in Business & Management, American University of Beirut",Vehicle Routing & Scheduling Meta-Heuristics Cognitive Analytics Electronic Government
9mx_NUcAAAAJ,Mutasem El-Fadel,American University of Beirut,https://scholar.google.com/citations?hl=en&user=9mx_NUcAAAAJ,American University of Beirut,Waste management Water resources management Air pollution control Climate change and sustainable development Environmental i
HiQnPHIAAAAJ,Alan Shihadeh,American University of Beirut,https://scholar.google.com/citations?hl=en&user=HiQnPHIAAAAJ,"Professor of Mechanical Engineering, American University of Beirut",Atmospheric Aerosols Air Pollution Electronic Cigarettes Tobacco Control Waterpipe Tobacco Smoke
x6j06mAAAAAJ,Mohammad Ahmad,American University of Beirut,https://scholar.google.com/citations?hl=en&user=x6j06mAAAAAJ,Professor of Chemical Engineering at The American University of Beirut,Renewable Enenrgy Catalysis Adsorption
x9rYBrcAAAAJ,Firas Kobeissy,American University of Beirut,https://scholar.google.com/citations?hl=en&user=x9rYBrcAAAAJ,American University of Beirut,Proteomcs Brain injury Biomarkers drug abuse
MUMy5mcAAAAJ,Rabih Jabr,American University of Beirut,https://scholar.google.com/citations?hl=en&user=MUMy5mcAAAAJ,"Professor of Electrical & Computer Engineering, American University of Beirut",Optimization Methods Power System Planning Robust Optimization State Estimation
ASVHfCkAAAAJ,Khalid Yunis,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ASVHfCkAAAAJ,American University of Beirut,maternal and newborn health perinatal and neonatal research
qPS3_jYAAAAJ,"Brigitte Khoury, PhD",American University of Beirut,https://scholar.google.com/citations?hl=en&user=qPS3_jYAAAAJ,"American University of Beirut, Dept. of Psychiatry",mental health psychology psychiatry
RUBGqtoAAAAJ,Ali Shamseddine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=RUBGqtoAAAAJ,"Professor of Hematology-Oncology, American University of Beirut Medical Center",GI Cancers GU Cancers Cancer Epidemiology
1cXVh7YAAAAJ,Ahmad Beydoun,American University of Beirut,https://scholar.google.com/citations?hl=en&user=1cXVh7YAAAAJ,"Professor of Neurology, American University of Beirut Medical Center",epilepsy
ZWfpXqgAAAAJ,Sami Sanjad,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ZWfpXqgAAAAJ,Professor of Pediatrics/Nephrology American University of Beirut Medical Center,Genetic and metabolic diseases of the …
c0WtT2IAAAAJ,Fadi El-Jardali,American University of Beirut,https://scholar.google.com/citations?hl=en&user=c0WtT2IAAAAJ,"Professor, American University of Beirut",Health policy and systems research
VV6esEcAAAAJ,Zeina Kanafani,American University of Beirut,https://scholar.google.com/citations?hl=en&user=VV6esEcAAAAJ,"Associate Professor of Medicine, American University of Beirut",Antimicrobial resistance hospital acquired infections infections in immunocompromised patients infective endocarditis
jKjl81AAAAAJ,Ghassan Dbaibo,American University of Beirut,https://scholar.google.com/citations?hl=en&user=jKjl81AAAAAJ,"Professor of Pediatrics and Biochemistry, American University of Beirut",Childhood infections vaccine-preventable diseases sphingolipids apoptosis stress response
_bWtgzQAAAAJ,Hala Gali-Muhtasib,American University of Beirut,https://scholar.google.com/citations?hl=en&user=_bWtgzQAAAAJ,"Professor of Cell Biology, American University of Beirut",Cancer Cell Cycle Medicinal Plants Cancer Therapy
oEcrPLAAAAAJ,Saouma BouJaoude,American University of Beirut,https://scholar.google.com/citations?hl=en&user=oEcrPLAAAAAJ,American University of Beirut,Science Education
ik41uDYAAAAJ,RAMI MAHFOUZ,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ik41uDYAAAAJ,"Professor of Clinical Pathology, American University of Beirut Medical Center",Molecular Pathology Molecular Diagnostics Histocompatibility Cancer Genomics
pu2imbMAAAAJ,Ali Chehab,American University of Beirut,https://scholar.google.com/citations?hl=en&user=pu2imbMAAAAJ,"Professor & Chair of ECE Department, American University of Beirut",Cryptography & Security Cloud Computing Cognitive Analytics Management Wireless Communications VLSI Design & Test
Y_8Ul7YAAAAJ,Yasser Shaib,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Y_8Ul7YAAAAJ,"Associate Professor, American University of Beirut",Gastroenterology
2j5jPhMAAAAJ,Arne Dietrich,American University of Beirut,https://scholar.google.com/citations?hl=en&user=2j5jPhMAAAAJ,"Professor of Psychology, American University of Beirut",psychology neuroscience evolution AI
YDTn798AAAAJ,Ahmad B. Albadarin,American University of Beirut,https://scholar.google.com/citations?hl=en&user=YDTn798AAAAJ,Associate Research Professor - American University of Beirut,Chemical Engineering & Advanced Energy
OBhOQoYAAAAJ,Lokman Meho,American University of Beirut,https://scholar.google.com/citations?hl=en&user=OBhOQoYAAAAJ,American University of Beirut,Research evaluation Bibliometrics Scientometrics Scholarly communication Science Policy
pF_1j1IAAAAJ,"Mariette Awad, PhD",American University of Beirut,https://scholar.google.com/citations?hl=en&user=pF_1j1IAAAAJ,"Associate Professor, American University of Beirut",Deep Learning Supervised Learning Multiagent Learning Disaster Informatics
yfQKST8AAAAJ,"Nesreen Ghaddar, PhD",American University of Beirut,https://scholar.google.com/citations?hl=en&user=yfQKST8AAAAJ,"Professor of Mechanical Engineering, American University of Beirut",Sustainable air-conditioning heat and moisture transport bioheat modeling thermal comfort indoor
aTR-wCkAAAAJ,Najat Saliba,American University of Beirut,https://scholar.google.com/citations?hl=en&user=aTR-wCkAAAAJ,"Professor of Chemistry, American University of Beirut",atmospheric chemistry analytical chemistry e-cigarette tobacco waterpipe
Q8rO1y4AAAAJ,Anwar Nassar,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Q8rO1y4AAAAJ,"Professor of Obstetrics and Gynecology, American University of Beirut",Maternal Fetal Medicine Preterm Labor Twin Gestation Cesarean Delivery Obstetrics and Gynecology
szFbmi8AAAAJ,Fadi Mourad,American University of Beirut,https://scholar.google.com/citations?hl=en&user=szFbmi8AAAAJ,"Professor of Medicine, American University of Beirut",gastroenterology
-EAxqiAAAAAJ,Ali K. Abu-Alfa,American University of Beirut,https://scholar.google.com/citations?hl=en&user=-EAxqiAAAAAJ,"Professor of Medicine, American University of Beirut",
G5DbQWsAAAAJ,ahmad mansour,American University of Beirut,https://scholar.google.com/citations?hl=en&user=G5DbQWsAAAAJ,american university of beirut,ophthalmology
wJJeWOEAAAAJ,Imad H. Elhajj,American University of Beirut,https://scholar.google.com/citations?hl=en&user=wJJeWOEAAAAJ,American University of Beirut,Robotics Networking Human Machine Interfacing
SoQ-Rb0AAAAJ,Marwan M. Refaat,American University of Beirut,https://scholar.google.com/citations?hl=en&user=SoQ-Rb0AAAAJ,"Tenured Professor of Medicine,Cardiology/Cardiac Electrophysiology-American University …",Cardiac Electrophysiology Cardiac Rhythm Management Devices Ablation of Complex Arrhythmias Cardiovascular Medicine Cardiova
XUHwB8sAAAAJ,Lara A Kahale,American University of Beirut,https://scholar.google.com/citations?hl=en&user=XUHwB8sAAAAJ,American University of Beirut,
6SnuIjAAAAAJ,kamel ghali,American University of Beirut,https://scholar.google.com/citations?hl=en&user=6SnuIjAAAAAJ,American University of Beirut,Conservation of energy thermal comfort and indoor air quality
aksiQV8AAAAJ,Imad Uthman,American University of Beirut,https://scholar.google.com/citations?hl=en&user=aksiQV8AAAAJ,american university of beirut,
0sBOmHYAAAAJ,F. Moukalled,American University of Beirut,https://scholar.google.com/citations?hl=en&user=0sBOmHYAAAAJ,American University of Beirut,Computational Fluid Dynamics
TWwUZOgAAAAJ,Nesrine A Rizk,American University of Beirut,https://scholar.google.com/citations?hl=en&user=TWwUZOgAAAAJ,American Univeristy of Beirut,HIV/AIDS Infectious Diseases Virology Antimicorbial Resistance Antimicrobial Stewardship
buBYlcsAAAAJ,Deborah Mukherji,American University of Beirut,https://scholar.google.com/citations?hl=en&user=buBYlcsAAAAJ,American University of Beirut,Oncology
TCXUM2UAAAAJ,Jurjus Abdo,American University of Beirut,https://scholar.google.com/citations?hl=en&user=TCXUM2UAAAAJ,American University of Beirut,Inflammatory Bowel Disease Inflammation Microbiota Wound healing and Cancer research
ygiJ24EAAAAJ,Digambara Patra,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ygiJ24EAAAAJ,"Professor, American University of Beirut, Lebanon",Nanochemistry Optical Sensing Fluorescence Spectroscopy Biophysical Chemistry
hx9tY0QAAAAJ,Mohamad Hmadeh,American University of Beirut,https://scholar.google.com/citations?hl=en&user=hx9tY0QAAAAJ,American University of Beirut,Metal Organic Frameworks and …
nVCuJuYAAAAJ,Jana G. Hashash,American University of Beirut,https://scholar.google.com/citations?hl=en&user=nVCuJuYAAAAJ,American University of Beirut,Gastroenterology Inflammatory Bowel Disease
-cZp8ykAAAAJ,Zaher Dawy,American University of Beirut,https://scholar.google.com/citations?hl=en&user=-cZp8ykAAAAJ,"Professor of Electrical and Computer Engineering, American University of Beirut (AUB)",Wireless communications cellular technologies mobile computing computational biology
-S75UbIAAAAJ,Yusuf Sidani,American University of Beirut,https://scholar.google.com/citations?hl=en&user=-S75UbIAAAAJ,American University of Beirut,Gender and Diversity Business Ethics Islamic Ethics Middle East Religious Ethics
cnuA85UAAAAJ,Lara Nasreddine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=cnuA85UAAAAJ,American University of Beirut,Professor of Nutrition
Au4LvOMAAAAJ,Fady Geara,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Au4LvOMAAAAJ,American University of Beirut Medical Center,
9XNSRbUAAAAJ,Joanne Khabsa,American University of Beirut,https://scholar.google.com/citations?hl=en&user=9XNSRbUAAAAJ,American University of Beirut,practice guidelines systematic reviews stakeholders conflict of interest health equity
FYXVD_sAAAAJ,Assaad A. EID,American University of Beirut,https://scholar.google.com/citations?hl=en&user=FYXVD_sAAAAJ,"Associate Professor - American University of Beirut, Faculty of Medicine",Diabetes diabetic complications nephropathy neuropathy cardiomyopathy
OciPSlgAAAAJ,Ishac Diwan,American University of Beirut,https://scholar.google.com/citations?hl=en&user=OciPSlgAAAAJ,American University of Beirut and Paris School of Economics,
rD1tD6UAAAAJ,Marwan Darwish,American University of Beirut,https://scholar.google.com/citations?hl=en&user=rD1tD6UAAAAJ,"Professor of Mechanical Engineering, American University of Beirut",CFD Multiphase Flow Finite Volume Method
eo7EaqIAAAAJ,Jean Elcheikh,American University of Beirut,https://scholar.google.com/citations?hl=en&user=eo7EaqIAAAAJ,american university of beirut medical center,hematology oncology and bone marrow …
faABM0oAAAAJ,Mohamed H. Harajli,American University of Beirut,https://scholar.google.com/citations?hl=en&user=faABM0oAAAAJ,American University of Beirut,Structural Engineering
8WEU9zcAAAAJ,Nayef Saade,American University of Beirut,https://scholar.google.com/citations?hl=en&user=8WEU9zcAAAAJ,"Professor, American University of Beirut",Neuroscience
g397im8AAAAJ,Ghazi Ghaith,American University of Beirut,https://scholar.google.com/citations?hl=en&user=g397im8AAAAJ,American University of Beirut,Education
JzsqVaMAAAAJ,Ayman Kayssi,American University of Beirut,https://scholar.google.com/citations?hl=en&user=JzsqVaMAAAAJ,"Professor of Electrical and Computer Engineering, American University of Beirut",
UnGTzOkAAAAJ,Hazem Hajj,American University of Beirut,https://scholar.google.com/citations?hl=en&user=UnGTzOkAAAAJ,"Associate Professor, American University of Beirut",Machine Learning Arabic Natural Language Processing Context Aware Sensing Time Series Prediction
uZ9IADwAAAAJ,Marie Aouad,American University of Beirut,https://scholar.google.com/citations?hl=en&user=uZ9IADwAAAAJ,Professor of Anesthesiology American University of Beirut,Anesthesiology
ybV6WVAAAAAJ,Rabih Talhouk,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ybV6WVAAAAAJ,"Professor of Cell Biology, American University of Beirut",Cell Biology breast cancer
LTsV8o0AAAAJ,Youssef Antoine Tawk,American University of Beirut,https://scholar.google.com/citations?hl=en&user=LTsV8o0AAAAJ,"Associate Professor, American University of Beirut",Reconfigurable Antennas RF Sensors Millimeter-Wave RF Systems Antenna Arrays
XoB7y7MAAAAJ,Nadine Darwiche,American University of Beirut,https://scholar.google.com/citations?hl=en&user=XoB7y7MAAAAJ,"Professor of Biochemistry and Molecular Genetics, American University of Beirut",Cancer Therapy Retinoids Medicinal Plants Cell Death Drug Discovery
w18RsEsAAAAJ,Rihab Nasr,American University of Beirut,https://scholar.google.com/citations?hl=en&user=w18RsEsAAAAJ,"Faculty of Medicine, American University of Beirut",
nOxpC8cAAAAJ,Kamal Bouhadir,American University of Beirut,https://scholar.google.com/citations?hl=en&user=nOxpC8cAAAAJ,American University of Beirut,Organic synthesis Heterocyclic chemistry Polymers Biomaterials
ivNOVAPXf34C,Antoine Ghauch,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ivNOVAPXf34C,"Professor of Environmental Chemistry and Instrumental Analysis, American University of …",Water Treatment Advanced Oxidation Processes Instrumental Analysis Spectroscopy Forensic Science
Y26j4mAAAAAJ,Rima Habib,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Y26j4mAAAAAJ,"Professor of Environmental and Occupational Health, American University of Beirut",Occupational Health Migrant Workers Health Environmental Health Climate Change and Health
CUu_FwMAAAAJ,Michel Bariche,American University of Beirut,https://scholar.google.com/citations?hl=en&user=CUu_FwMAAAAJ,American University of Beirut,Marine Invasive Species
Gm0ZtJcAAAAJ,Hassan Artail,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Gm0ZtJcAAAAJ,American University of Beirut,Wireless Networking Internet of Things 5G Vehicular Networks
UCOX0VkAAAAJ,Omar Obeid,American University of Beirut,https://scholar.google.com/citations?hl=en&user=UCOX0VkAAAAJ,American University of Beirut,Nutrition. Metabolism. Micronutrients
pQzbV3gAAAAJ,Hala Tfayli,American University of Beirut,https://scholar.google.com/citations?hl=en&user=pQzbV3gAAAAJ,"Associate Professor of Clinical Pediatrics, American University of Beirut",Pediatric Endocrinology Childhood Diabetes Insulin Resistance
mTbrfJgAAAAJ,Ghassan Matar,American University of Beirut,https://scholar.google.com/citations?hl=en&user=mTbrfJgAAAAJ,American University of Beirut,Microbiology Antimicrobial resistance
1zi60FkAAAAJ,Dr. Shahe S. Kazarian,American University of Beirut,https://scholar.google.com/citations?hl=en&user=1zi60FkAAAAJ,"Professor Emeritus, Department of Psychology, American University of Beirut",Cultural Clinical Psychology Cultural Health Psychology Cultural Positive Psychology
vn3QLLkAAAAJ,I. Patrick Saoud,American University of Beirut,https://scholar.google.com/citations?hl=en&user=vn3QLLkAAAAJ,"Aquaculture, American University of Beirut",Aquaculture physiology water nutrition
ZpkGqcQAAAAJ,Wael Shamseddeen,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ZpkGqcQAAAAJ,American University of Beirut,depression bipolar disorder ADHD
sj2NQ-IAAAAJ,George M. Ayoub,American University of Beirut,https://scholar.google.com/citations?hl=en&user=sj2NQ-IAAAAJ,American University of Beirut,Environmental Engineering
dPNXgx0AAAAJ,Assem Safieddine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=dPNXgx0AAAAJ,"Professor of Finance and Associate Dean, American University of Beirut",Corporate Governance Equity issuance Securities Regulation Private Equity Mergers and Acquisition
DJmzqb0AAAAJ,Wassim Abou-Kheir,American University of Beirut,https://scholar.google.com/citations?hl=en&user=DJmzqb0AAAAJ,Professor- Faculty of Medicine at the American University of Beirut,Normal and Cancer Stem cells Neurogenesis 3D cell biology Patient-derived organoids
33SM5n4AAAAJ,Dr. Hassan Zaraket,American University of Beirut,https://scholar.google.com/citations?hl=en&user=33SM5n4AAAAJ,"Associate Professor, Faculty of Medicine, American University of Beirut",Virology Antivirals Vaccines Respiratory viruses Influenza
Tl5ZhUMAAAAJ,Diana E. Jaalouk,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Tl5ZhUMAAAAJ,"Associate Professor, Biology, American University of Beirut",Experimental Medicine Cancer Research Cardiovascular Research Molecular and Cell Biology
ptBfinUAAAAJ,Joseph Costantine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ptBfinUAAAAJ,American University of Beirut,Applied Electromagnetics Antenna Design RF systems
-fcRvvgAAAAJ,Mohamad El-Khatib,American University of Beirut,https://scholar.google.com/citations?hl=en&user=-fcRvvgAAAAJ,"Professor, American University of Beirut",Anesthesiology Respiratory Care Critical Care
Gvjlk-IAAAAJ,Elie Barbour,American University of Beirut,https://scholar.google.com/citations?hl=en&user=Gvjlk-IAAAAJ,American University of Beirut,Inventions of Vaccines and other Biologics
BOqlbggAAAAJ,Fadi T. Maalouf,American University of Beirut,https://scholar.google.com/citations?hl=en&user=BOqlbggAAAAJ,American University of Beirut,Child and Adolescent Psychiatry
YTrWW4cAAAAJ,rola khishfe,American University of Beirut,https://scholar.google.com/citations?hl=en&user=YTrWW4cAAAAJ,American University of Beirut,Science Education
zr5du2kAAAAJ,Hiba El Hajj,American University of Beirut,https://scholar.google.com/citations?hl=en&user=zr5du2kAAAAJ,Associate professor at the American University of Beirut,Oncology and Parasitology
eFZh_WAAAAAJ,Mohammad M. Mansour,American University of Beirut,https://scholar.google.com/citations?hl=en&user=eFZh_WAAAAAJ,"Professor, American University of Beirut",VLSI for Embedded Systems Error Correcting Codes MIMO OFDM
BD84rZUAAAAJ,riad chedid,American University of Beirut,https://scholar.google.com/citations?hl=en&user=BD84rZUAAAAJ,"Professor of Electrical & Computer Enginering, American University of Beirut",renewable energy
eyQeSY4AAAAJ,Hazem Assi,American University of Beirut,https://scholar.google.com/citations?hl=en&user=eyQeSY4AAAAJ,"Associate Professor, American University of Beirut",Cancer
QidtvQgAAAAJ,Wassim El-Hajj,American University of Beirut,https://scholar.google.com/citations?hl=en&user=QidtvQgAAAAJ,"Professor, Computer Science Dept., American University of Beirut - Mediterraneo",Wireless Communication Network Security Data Mining
a9_xXAwAAAAJ,Sanaa Sharafeddine,American University of Beirut,https://scholar.google.com/citations?hl=en&user=a9_xXAwAAAAJ,"Professor, American University of Beirut",Wireless Networking 6G Systems Edge Computing Network Planning and Optimization
ukW6b5wAAAAJ,Jocelyn DeJong,American University of Beirut,https://scholar.google.com/citations?hl=en&user=ukW6b5wAAAAJ,"Professor, Faculty of Health Sciences, Associate Provost, American University of Beirut",Public health reproductive health adolescent health Middle East and North Africa
5l6u0LIAAAAJ,Monique Chaaya,American University of Beirut,https://scholar.google.com/citations?hl=en&user=5l6u0LIAAAAJ,American University of Beirut,Mental health tobacco use
